,SGD=X,JPY=X,INR=X,MYR=X,GBPUSD=X,ZAR=X,NZDUSD=X,AUDUSD=X,CNY=X,PHP=X,MXN=X,IDR=X,EURUSD=X,THB=X,HKD=X
2021-01-04 13:00:00+00:00,0.00039477889078698425,0.0010980367153941017,-0.00010963485531390038,0.0,-0.0020306145190727154,-0.0005281981189108054,0.0007213834288535281,0.00030874682775583473,3.092606743471116e-05,2.0812350525423184e-05,0.0004048904276141574,0.0,-0.0006151633901856357,-0.0007028552200596394,5.0313032557980364e-05
2021-01-04 14:00:00+00:00,0.0002049108954245149,0.000271782778761942,0.0003425288980667407,0.0,-0.0016055085194996987,0.001243629914850164,-0.0015125406601171898,-0.0016414052980726623,-9.284914007523515e-05,0.0003540408998659039,-0.00039459391856389026,-0.0010791366906475197,-0.0006146699020094237,0.0014401737305387297,7.349761495634155e-05
2021-01-04 15:00:00+00:00,0.0007662911490295965,0.0007471625480552913,-0.00015067364808796224,0.0,-0.002212810786629049,0.004286370723083799,-0.0014384489577782267,-0.003172495632365435,1.550089824009504e-05,-0.00020820433055468435,0.0054713715731766754,0.0,-0.0014730897854623448,0.0,2.0663919431340716e-05
2021-01-04 16:00:00+00:00,0.001683157811206204,0.0005720862312168506,0.0005205399026075863,0.0,-0.001856469658900295,0.006286377313477587,-0.0035117984410847347,-0.0031395277649295394,0.0,-0.00016655049696712165,0.0037704733245012,0.0,-0.0014709902333744918,0.00033445581971291993,8.978779454160701e-06
2021-01-04 17:00:00+00:00,-0.00040873612564151784,-0.00018410451931494265,0.0006982531242256673,0.0,0.0012074277258835586,-0.0021943206025176742,0.0,0.000490303449497631,0.0,0.00016657824065591242,-0.0032648429255871525,0.0,-0.0002450723678280031,0.0002674496892953737,-3.093346242977191e-05
2021-01-04 18:00:00+00:00,-0.0005981902645821879,-0.00037803839485728297,-0.00016418635328541153,0.0,-0.00018988011895404444,-0.0020855649537437904,0.0020827352285728296,0.0012426240591529858,0.0,0.0,-0.0016769229529043361,0.0010803024846957054,-0.00012256622150808028,-0.0002673781790845098,3.3517412603378816e-05
2021-01-04 19:00:00+00:00,-0.00021974770470678529,-0.00019389932504410012,-0.00030107514309418715,0.0,0.00021707217271837997,0.0018494882090822617,0.0001436617649317462,0.00019946513505630925,0.0,0.0,0.0030995495252144067,0.0,0.00012258124582831265,-0.0003343439964175188,3.486924034867833e-05
2021-01-04 20:00:00+00:00,0.0006593880131224861,0.0003103286842487396,0.00013690304632762995,0.0,-4.068121619082987e-05,0.00019920401396089638,-0.0005025364982068625,-0.0010958683603087271,-1.550065796607214e-05,-0.00020816826540337452,0.00256031454006056,0.0,-0.000245035168237262,0.0,-1.937112473726632e-05
2021-01-04 21:00:00+00:00,3.0243790227757472e-05,-0.00036844721873408037,0.0,0.0,0.0003799411126421681,0.00013050710145345867,-7.181516354348716e-05,0.0005443355427698915,0.0,0.00020821160845274633,-6.165308848993245e-05,0.0,0.0003675941884702105,0.0,-6.063586979454527e-05
2021-01-04 22:00:00+00:00,-0.0009087307029010949,0.0001163985331860129,0.0,0.0,0.00029863764143023275,0.0002297999521729821,-0.0004305067816234853,0.00029918669257389396,0.0,0.0,-0.00018793402387773384,0.0,0.0,-0.000668911639426284,-1.0270592599614936e-05
